Username,waktu,Komentar,Rating
Chorin Almanzo,2023-06-13,permainan semakin lama semakin patahdevice mampu buat main tapi sering lag para semoga baik,1
Aaa Aaa,2023-06-13,permainan nya bagus Hanya tolong tambah mode undead siegenya soal mode itu seru,5
Desta. adeee,2023-06-13,in permainan selalu request time out terus padahal lobby lancar buat buka kok lain tidak ada kendala internet heran sangat,1
Rivaldi Akbar,2023-06-13,permainan nya bug ini semakin update kok semakin banyak bug terkadang semua karakter musuh maupun teman tidak liat kadang tidak bisa ganti senjata tolong baik ini,1
Joe Jun,2023-06-13,bukan bug lagikomplit bug lag error bukan heran kalau ketemu musuh mau tembak gerakan karakter yang saya main selalu diam tidak gerak juga terkadang selalu berputar tidak tidak teratur kalau ram masih lumayan besar kalau memory penuh tidak mungkin error bug atau lagtolong baik min juga load nya itu sangat rese,3
Night crow,2023-06-13,dar saran mungkin tidak tahu bug atau fitur wkwkwkwkwk sizenya sampai gb padahal map juga itu saja tolong sizenya jangan terlalu bengkak,3
Eny Pujiastuti,2023-06-13,pli lah siapa yang buat tolong mb nya kecil kan hp saya jadi penuh semoga mb nya kecil kan,4
Dimas Haryo,2023-06-13,garena bodoh kasih musuh tidak berotak waktu login saja susah mau masuk permainan nya bodoh kamu buat permainan tidak ada pintu saja,1
Padil Aufa,2023-06-13,mantap codm tingkatin terus permainan nya,5
Dion Alvarendra,2023-06-13,permainan jelek sangat dia habis kan internet saya untuk unduh data tapi tidak bisa mainkan sudah masuk keluar terus ulang pokok nya tidak mau tahu saya juga mau hapus ff semoga garena kalau buat permainan yang ada perasaan kepada yang main nya bukan kualitas permainan nya saja bagus beri hp hp nya yang masih tidak kalau tidak tidak,1
Imam Permadi,2023-06-13,matchmaking yang benar lah tidak seimbang sangat match makingnya,1
Muhammad Akbar idham,2023-06-13,sejak update saya sedikit kesal dengan bot yang ada permainan dan matchnya yang sangat seimbang,1
M Nabban,2023-06-12,mengapa saat ingin mulai permainan saya selalu lag padahal jaringan lancar simpan penuh,1
Joko Maryanto,2023-06-12,permainan paling keren bagus tapi minus tidak bisa costum atau edit sendiri lengkap bundel nya dan untuk senjata sniper harus berguna skopeneropong walaupun dengan jarak dekat  kalau bisa untuk sniper jarak dekat tidak perlu berguna skope untuk tembak musuh yang jarak dekat,3
Mas Mahfud Official,2023-06-12,maaf jaringan error terus ketika masuk permainan padahal jaringan wifi normal,5
Mas Al,2023-06-12,banyak cheater dan pihak developer malas tidak cepat tanggap ban atau tingkatkan aman sistem nya sering sekali hilang sinyal atau sinyal stabil jadi iya tidak seru please kita sudah download data resource yang banyak masa kita dapat begini terasa percuma main kalau ketemu cheater selalu tidak usah tier tinggi ketemu mereka tingkat pro saja sudah banyak cheater nya,1
Risang Aji dharma,2023-06-12,kalau beri saran ga pedulikan sama developer nya sekarang malah bertambah parah di update buka lebih enak malah lebih hancur bahkan sekarang main mp berat banget file nya sudah buat kecil mas aja uda tidak ramah hp middle end sekarang codm jadi permainan killer game buat hp high end contoh rog di ram mas lag naga saja mas nge lag mediatek lebih parah tahun dua tahun kalau tidak benarkan jadi permainan mati yakin sudah khusus buat hp kelas dan performa dewa baru lancar main ini permainan,1
Alexander Kids,2023-06-12,habis upgrade war keluar sendiri buat jengkel,3
Kus Nanto,2023-06-12,admin  kenapa data saya masih ada tapi tampil download masih  baik dong admin soal kalau dapat mythic biar bisa lihat juga,3
Irddin Wahyu V.K,2023-06-12,kalau beri musuh yang susah saya yang player baru langsung beri musuh yang tidak berotak,1
Hidayat aji Firmansyah,2023-06-12,buat yang rindu masa main ps recomanded sangat mau hp kentang atau enggak masih enak mainn soalnya dari pihak sana sudah ngukur soal grafik dan lain nyah sesuai mampu hp yang kita milik pkonya keren hd wlaupun low grafik,5
Muhammad Rifqil Amin Al Hakim,2023-06-12,ukur data sesuai dengan grafik nya mantap lah pokok terus tingkat aman dan grafik jangan sampai ada cheater permainan,5
Faishal Putra galih,2023-06-12,ram nya jangan besar besar ram sedikit beri,5
Alfian Rizki Raihan,2023-06-12,permainan cacat login facebook sudah masukin pasword ma email semakin reset gamenya iya jadi semakin balik lobby buat login cacat ini permainan bnr bnr cacat,1
Abyan ghulam ahmad,2023-06-12,force close jelas padahal jaringan lancar hp over heat,1
eka. Ytb,2023-06-12,optimal lagi setiap ketemu player selalu bug hilang lihat hilang lihat terus itu dari dulu selalu begitu,3
Ross Ridho Akhtar Zain,2023-06-12,dari segi grafik gameplay sudah sangat bagus tapi yang buat aneh itu karakter para player sama semua jadi mohon buat karakter beda yang lebih keren,5
Bimasena Rafardhan,2023-06-12,sangat cocok buat hp kentang,5
Ihsan Ihsan,2023-06-12,permainan sangat seru karena saya bisa main multiplayer pc tapi player mobile tidak bisa mabar sama yang pc karena itu,4
WDDHIYAEL,2023-06-12,terkadang suka timeout sendiri jaringan stabil,3
Modol Vlog,2023-06-12,mau masuk alasan jaringan wifi diam melihat hp rog dei jam malem tunggu sampai jam saya lihat jaringan konfigurasi padahal cod seru tapi susah mau main,1
Ibra Helmi zimah,2023-06-12,harus call of duty mobile harus bisa selsaikan masalah internet nya karena call of duty mobile masih belum bisa selsaikan masalah internet nya,4
Yongki 35,2023-06-12,mode zombie rusak lag parah,1
Vando Yoga,2023-06-11,saya kasih bintang dulu soal permainan bagus dan seru tapi tolong baik pada bug sinyal saya main saat ti ngelag karena sinyal padahal sinyal saya bagus tapi saat awal masuk permainan malah lambat parah tolong baik,4
prawiro Yudho,2023-06-11,lumayan lah bagus dan kita bisa tembak sesuai skill kita,5
binti suaidah,2023-06-11,saya sering alami lag dengan jaringan yang bagus dan fps saya sering drop padahal device saya bagus dan dengan grafik rendah tetap sering drop,4
Riyan x Toxic,2023-06-11,masalah musuh lihat ketika ada agak terlalu jauh lot nya gambar bok bukan senjata  tolong baik,2
Yulia Raranta,2023-06-11,untuk sekarang codm saya kasih bintang satu karena semenjak update permainan nya jadi ngebug sudah begitu tambah lag lag tidak jelas dan permainan nya jadi sangat berat tolong sesungguh karena saya bagai player lama jadi nyaman saat main tolong baik,1
Rizky CahyaPutra,2023-06-11,fit ur nya selalu error terus turus setiap update game selalu error game nya,1
Mr K,2023-06-11,goblok ngebug keluar terus war ajj keluar sendiri terkadang pea,1
Raja Gusnadi Ardiansyah,2023-06-11,permainan nya mmg bgus tpi saya hilang akun saya apakah saya bisa dapat nya kembali mohon beritahu jika ada yang seperti saya bagaimana cara dapat kmbali,4
Sltnelngsych,2023-06-11,bagaimana developer akun saya sudah bind pakai garena semakin ngulang dari awal mohon dong buat balikin akun saya sudah banyak top up masa ulang dari awal lucu sangat,1
Axel,2023-06-11,untuk matchmaking rank mp golong cepan untuk kelas permainan mobile tetapi kurang bot mp agar tingkat kualitas main,2
jejeh,2023-06-11,saya kasih bintang dan lain lain soal iya ada bug yang buat saya kesal iya itu bug sinyal padahal sinyal bagus dan saat kena bug sinyal lobyy jadi lobby iya seperti error begitu terus kalau mau main benar harus pakai vpn tapi permainan lain lancar saja seperti ml pubg sama arena break aut itu lancar tapi saat mau main cod semakin ngelag tidak tahu napa seperti iya dari permainan iya mofon baik,2
Sandika ptr Ptr,2023-06-11,kasih kami yang ram untuk bisa rasa grafik tinggi karena saat main br musub yang jauh lihat kalau deket baru lihat dan saya sering bingung karena mush selsaikan gunung lihat,5
Fajar Amrullah suwarno,2023-06-11,dulu istirahat main permainan karena bosen terus karena bosenn sangat jadi hapus sekarang sudah download tapi dulu akun itu akun guest jadi tidak bisa kembali terus minta bantu kata bisa kembali data tapi sudah coba kalau kalau tidak bisa kecewa sih padahal permainan bagus tapi iya coba dari awal tidak ada salah jadi iya tetap main tapi kecewa,4
Anak Simon Riley,2023-06-11,bagus sangat gamenya grafik sangat bagus dan gamenya sangat serubanyak senjata yang bisa pakai dan skin gratis yang bagus,5
Hasanah Canah,2023-06-11,yth developer saya lagi download permainan ini tapi saya kasih bintang dulu soal saya kan tahu dulu ini permainan bagus tidak terus ngelag tidak biasa kalau permainan online banyak ngelag semua alias tidak nyaman main nya okeuntuk komen sampai sini saja dulu nanti saya sambung lagi by terima kasih,2
Xz Aikrus,2023-06-11,memang permainan nya sampah bukan hp nya yang kentang developer nya saja Hanya peduli sama skin bukan nyaman player,5
Praa Setia,2023-06-11,permainan puki sudah match tapi semakin ngestuck activision mmq sudah login ulang tapi semakin mes balikin tidak anjing puki,1
Fargo,2023-06-11,oke sudah hari berturutturut aku alami jadi wifi aku fine fine saja tapi saat masuk codm nya itu bisa kata konfigurasi gagal why sudah aku mati hidup wifi nya tapi tetap saja tidak bisa masuk tolong lah garena kalau jadi publiser saja tidak becus lebih baik ganti publiser saja,1
Muhammad Zainal Fadli,2023-06-11,bagi tim seimbang bug tabur saat main mp ketemu tim bottim gwmusuh terkadang lambat meski jaringan full tidak sering ketemu cheater saat report terkadang tidak peduli,2
Irwansyah Irwansyah,2023-06-11,permainan sudah bagus turut ku tapi pada saya saat main selalu keluar mohon baik dan maaf saya beri bintang,1
Olivier Andrew Siahaan14,2023-06-11,permainan nya bagus tolong ditambahkan finish kill mpbr ok,5
Salman Fariz Siregar,2023-06-11,saya main dari s sampai sekarang tidak ada ubah sama sekali sama pihka devodan saya sering lihat bug keluar sendiri dan kena hukum terus,2
Jonathan stepanus,2023-06-11,masih banyak bug tanah nya tembus pandang pintu lihat sudah masuk rumah dan jendela nya damage ada saat tembak musuh itu bug ganggu sangat tapi overal permainan nya bagus mohon fiks dan tingkat permainan nya biar tidak ngebosani karena banyak permainan keluar garena saya main tapi banyak bug,3
Muhammad Rezaandika,2023-06-11,keluh saya lama main codm itu alami jaringan yang lag tapi bukan karena jaringan tapi codm nya yang tidak mau akses saya sudah coba jaringan saya dan terlalu buruk codm tidak bisa akses satu keluh saya yaitu saat tunggu mulai match itu match nya lama sangat terkadang cepat terkadang hampir menit saya tunggu nya jadi buat developer codm tolong baik dong untuk yang baik buat codm,2
Dimas Saputra,2023-06-11,permainan nya seru sangat dan grafik bagus tapi tolong untuk macet nya perbaiki,5
Nur Azizah,2023-06-11,team garena yang hormat gameplay nya sangat bagus dan saya suka nya tetapi ada satu masalah saat saya main match nya baik mp maupun pertarungan royal sering keluar sendiri terima kasih,3
Edbert Emilio,2023-06-11,soal permainan saya mau jujur kalau permainan kadangkadang itu bisa jadi susah atau muda tapi permainan itu senang buat saya tidak susah juga bisa sebut masih muda loh Hanya kalau misal kamu sudah mainmain iya kan ketemu cheater atau seperti iya begitu sudah jadi susah,5
Yudha Ark,2023-06-11,macthmakingnya tidak seimbang sangat masa rank mp ngestuck gm menang losetreaknya bisa sampai kalau tolong sangat kalau begini terus jadi buat malas main rank poin minus terus,2
Fuji Man,2023-06-11,tolong jangan kecuali sistem  apa sering error,1
Agus Suryadi,2023-06-10,cepat internet tidak gerak buat kata sandi harus pakai syarat akun google ada ukur games terlalu berat karakter nya tidak ada yang imut gacah nya ampas,1
ANANDA RABU,2023-06-10,untuk beberapa device dan susah untuk main codm mulai dari ada sinyal yang tiba susah padahal jaringan aman,4
Nanda Prasetya,2023-06-10,masa pakai jaringan data lag nya minta ampun padahal sinyal full payah,2
Russel Cayut,2023-06-10,permainan memang bagus Hanya terkadang musuh kasih yang jago,5
Rio Wijayadi,2023-06-10,sering alami frame,5
Caesar Nawang,2023-06-10,tulis tidak ada koneksi padahal koneksi saya lancar,4
Arfan Arsyad,2023-06-10,permainan tidak jelas permainan tidak pernah fair permainan ap sih kecewa saya kasih yang habis itu susah tidak jelas,1
Asbi Haider pratama,2023-06-10,permainan nya bagus sangat keren saya sangat suka permainan tapi device saya masih kentang jadi terkadang lag atau patah patah tapi saya masih suka dengan permainan tetapi saya ingin henti main call of duty karena device saya kuat mungkin nanti saat saya sudah ganti device yang lebih dukung saya akan comeback main permainan,5
ADITYA IMANI,2023-06-10,permainan nya sudah bagus tapi tolong simpan nya rang kalau begini terus saya mungkin bisa main permainan lagi karena simpan yang sangat besar,1
Awwal Asa Dinanti,2023-06-10,bagus Hanya masih ada bug layout suka ubah sendiri step hilang saya tahu ada perk biar step tidak terlalu kedengeran tapi musuh depan muka step nya tidak ada padahal lari terkadang step tim sendiri hilang lebih nya sudah bagus,4
Ibrahimovich Putra,2023-06-10,garena dongo benarkan dulu itu game kamu msan saya run pakai analog yang analog nya bawah malah tiba selsaikan,1
Alpynn _,2023-06-10,saya bisa main nya dengan kuota selalu ada tulis errornetwork time out padahal jaringan saya sudah bagus,1
Adhitya Purnama,2023-06-10,saran tambah fitur replay match sering sekali ketemu moment yang keren namun sayang moment sebut ter record player juga mungkin selalu merecord gameplay karena moment sebut selalu ada jadi tolong tambah fitur sebut,5
Maulaana Nirwanalim,2023-06-10,punya aku kenapa sudah update semakin tidak bisa buka apknya Hanya loading henti saat login tolong bantu,3
Vinn Mediatwk,2023-06-10,gamenya bagus hanya pihak developer nya pelit frame rate kenapa sih hp saya pada middle range lancar saja tapi hanya mentok high please lah developer update nanti jangan pelit frame rate padahal itu butuh sangat buat gameplay,3
Fairuz Fathoni,2023-06-10,loginnya lama masuk facebook lama sangat padahal wifi bagus saja biasa auto login lah tidak tolong baik,5
Bang Fajar,2023-06-10,apa bisa lebih ringan pada hp ram gb masa main mode zombie lambat parah teruss sih mulai dari awal main pun masih ngefrem terus dan pertarungan royale pun juga patah patah tapi yang parah mode zombie sampai bot ulang terus hp saya tolong untuk lebih ringan gamenya,1
Pengguna Google,2023-06-10,saya kasih bintang karena permainan cod sudah update semakin keren dan semakin seru tapi mulai sepi orang yang download permainan call of duty si jadi turut saya permainan cukup bagus untuk main kan sekian terima kasih,5
